ball_x,ball_y,ball_vx,ball_vy,paddle_direction,paddle_y,Ball.RADIUS,Paddle.L,Paddle.STEP,WIDTH,HEIGHT,BORDER,VELOCITY,FPS
,,,,,,,,,,,,,
770,200,-12,3,0,200,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
770,200,-12,3,0,200,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
758,203,-12,3,0,200,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
746,206,-12,3,0,200,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
734,209,-12,3,0,200,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
722,212,-12,3,0,200,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
710,215,-12,3,0,200,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
698,218,-12,3,0,200,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
686,221,-12,3,0,200,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
674,224,-12,3,0,200,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
662,227,-12,3,0,200,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
650,230,-12,3,0,200,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
638,233,-12,3,0,200,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
626,236,-12,3,0,200,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
614,239,-12,3,0,200,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
602,242,-12,3,0,200,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
590,245,-12,3,0,200,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
578,248,-12,3,0,200,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
566,251,-12,3,0,200,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
554,254,-12,3,0,200,10,80,20,800,400,20,12,30
,,,,,,,,,,,,,
542,257,-12,3,0,200,10,80,20,800,400,20,12,30
